nombre,fecha,tipo,hashContrasena,estado,ganadores
"Batalla en la aldea","2025-03-05 14:30:00","publica",,"en_curso",
"Lobos al acecho","2025-03-04 20:15:00","privada","secreta123","terminada","lobos"
"La última noche","2025-03-03 22:00:00","publica",,"terminada","aldeanos"
"Guerra oculta","2025-03-02 18:45:00","privada","clave456","en_curso",
"Sangre en la luna llena","2025-03-01 00:00:00","publica",,"terminada","lobos"
"Estrategia y engaño","2025-02-28 15:30:00","privada","loboalfa","en_curso",
"El juicio final","2025-02-28 21:20:00","publica",,"terminada","aldeanos"
"Sombra nocturna","2025-02-27 19:10:00","privada","misterio99","en_curso",
"Venganza lupina","2025-02-26 23:05:00","publica",,"terminada","lobos"
"Los últimos aldeanos","2025-02-25 10:30:00","privada","proteccion","terminada","aldeanos"
"Manada sangrienta","2025-02-24 17:00:00","publica",,"en_curso",
"Noche sin luna","2025-02-23 02:15:00","privada","oscuridad","terminada","lobos"
"Terror en la villa","2025-02-22 20:40:00","publica",,"en_curso",
"El poder de la aldea","2025-02-21 22:10:00","privada","fuerzaaldeana","terminada","aldeanos"
"Almas en disputa","2025-02-20 14:50:00","publica",,"terminada","lobos"
